experiment simulation item wn word enctime ecc freq1
STAUB10 13 SRC 7 "hurried" 35 3.252 .00370
STAUB10 13 SRC 8 "to" 23 1.933 .00370
STAUB10 13 SRC 9 "the" 17 1.169 .00370
STAUB10 13 SRC 10 "clinic" 26 1.877 .00370
STAUB10 13 SRC 11 "*" 29 2.139 .00370
STAUB10 13 ORC 1 "the" 17 1.763 .00370
STAUB10 13 ORC 2 "employees" 23 2.636 .00370
STAUB10 13 ORC 3 "who" 98 5.088 .00370
STAUB10 13 ORC 4 "the" 17 1.572 .00370
STAUB10 13 ORC 5 "fireman" 17 2.017 .00370
STAUB10 13 ORC 6 "noticed" 51 3.134 .00370
STAUB10 13 ORC 7 "hurried" 47 3.240 .00370
STAUB10 13 ORC 8 "to" 22 2.398 .00370
STAUB10 13 ORC 9 "the" 23 1.133 .00370
STAUB10 13 ORC 10 "clinic" 16 1.684 .00370
STAUB10 13 ORC 11 "*" 47 4.053 .00370
STAUB10 14 SRC 1 "the" 18 1.595 .00370
STAUB10 14 SRC 2 "employees" 21 2.223 .00370
STAUB10 14 SRC 3 "who" 52 3.339 .00370
STAUB10 14 SRC 4 "noticed" 16 1.783 .00370
STAUB10 14 SRC 5 "the" 41 4.121 .00370
STAUB10 14 SRC 6 "fireman" 37 2.386 .00370
STAUB10 14 SRC 7 "hurried" 50 3.048 .00370
STAUB10 14 SRC 8 "to" 18 1.513 .00370
STAUB10 14 SRC 9 "the" 43 3.529 .00370
STAUB10 14 SRC 10 "clinic" 29 1.839 .00370
STAUB10 14 SRC 11 "*" 20 1.913 .00370
STAUB10 14 ORC 1 "the" 19 1.386 .00370
STAUB10 14 ORC 2 "employees" 33 2.791 .00370
STAUB10 14 ORC 3 "who" 37 2.409 .00370
STAUB10 14 ORC 4 "the" 20 1.646 .00370
STAUB10 14 ORC 4 "the" 8 0.071 .00370
STAUB10 14 ORC 5 "fireman" 35 2.513 .00370
STAUB10 14 ORC 6 "noticed" 40 3.176 .00370
STAUB10 14 ORC 7 "hurried" 32 2.127 .00370
STAUB10 14 ORC 8 "to" 33 2.228 .00370
STAUB10 14 ORC 9 "the" 15 1.437 .00370
STAUB10 14 ORC 10 "clinic" 48 3.916 .00370
STAUB10 14 ORC 11 "*" 22 1.559 .00370
STAUB10 15 SRC 1 "the" 27 1.461 .00370
STAUB10 15 SRC 2 "employees" 21 2.387 .00370
STAUB10 15 SRC 3 "who" 43 2.909 .00370
STAUB10 15 SRC 4 "noticed" 25 1.797 .00370
STAUB10 15 SRC 5 "the" 27 2.321 .00370
STAUB10 15 SRC 6 "fireman" 55 4.870 .00370
STAUB10 15 SRC 7 "hurried" 33 2.989 .00370
STAUB10 15 SRC 8 "to" 23 2.233 .00370
STAUB10 15 SRC 9 "the" 46 4.080 .00370
STAUB10 15 SRC 10 "clinic" 18 1.482 .00370
STAUB10 15 SRC 11 "*" 21 1.847 .00370
STAUB10 15 ORC 1 "the" 14 1.220 .00370
STAUB10 15 ORC 2 "employees" 25 2.971 .00370
STAUB10 15 ORC 3 "who" 38 2.476 .00370
STAUB10 15 ORC 4 "the" 23 1.536 .00370
STAUB10 15 ORC 5 "fireman" 39 3.297 .00370
STAUB10 15 ORC 6 "noticed" 62 3.600 .00370
STAUB10 15 ORC 3 "who" 47 3.742 .00370
STAUB10 15 ORC 4 "the" 28 1.776 .00370
STAUB10 15 ORC 5 "fireman" 26 2.404 .00370
STAUB10 15 ORC 6 "noticed" 37 2.891 .00370
STAUB10 15 ORC 7 "hurried" 101 6.004 .00370
STAUB10 15 ORC 8 "to" 35 2.579 .00370
STAUB10 15 ORC 9 "the" 37 3.411 .00370
STAUB10 15 ORC 10 "clinic" 119 6.078 .00370
STAUB10 15 ORC 11 "*" 14 1.538 .00370
STAUB10 16 SRC 1 "the" 20 1.447 .00370
STAUB10 16 SRC 2 "employees" 35 2.940 .00370
STAUB10 16 SRC 3 "who" 33 2.450 .00370
STAUB10 16 SRC 4 "noticed" 19 2.353 .00370
STAUB10 16 SRC 5 "the" 25 2.031 .00370
STAUB10 16 SRC 6 "fireman" 39 2.565 .00370
STAUB10 16 SRC 7 "hurried" 40 2.802 .00370
STAUB10 16 SRC 8 "to" 25 2.340 .00370
STAUB10 16 SRC 9 "the" 16 1.171 .00370
STAUB10 16 SRC 10 "clinic" 21 2.018 .00370
STAUB10 16 SRC 11 "*" 23 1.749 .00370
