experiment simulation item wn word enctime ecc freq1
"MV13-1" 6 UNAMB 5 "los" 19 1.245 .00370
"MV13-1" 6 UNAMB 6 "alumnos" 27 2.441 .00370
"MV13-1" 6 UNAMB 7 "selevantaran" 76 4.239 .00370
"MV13-1" 6 UNAMB 8 "del" 28 2.831 .00370
"MV13-1" 6 UNAMB 9 "asiento" 20 2.230 .00370
"MV13-1" 6 UNAMB 10 "si" 29 1.794 .00370
"MV13-1" 6 UNAMB 11 "los" 17 1.699 .00370
"MV13-1" 6 UNAMB 9 "asiento" 30 2.224 .00370
"MV13-1" 6 UNAMB 10 "si" 24 2.606 .00370
"MV13-1" 6 UNAMB 11 "los" 43 3.882 .00370
"MV13-1" 6 UNAMB 12 "directores" 44 2.985 .00370
"MV13-1" 6 UNAMB 13 "entraban" 37 3.246 .00370
"MV13-1" 6 UNAMB 14 "en" 32 2.346 .00370
"MV13-1" 6 UNAMB 15 "la" 14 1.404 .00370
"MV13-1" 6 UNAMB 16 "clase" 35 3.207 .00370
"MV13-1" 6 UNAMB 17 "de" 23 1.340 .00370
"MV13-1" 6 UNAMB 18 "musica" 16 1.814 .00370
"MV13-1" 6 UNAMB 19 "*" 57 3.808 .00370
"MV13-1" 7 HIGH 1 "el" 20 1.348 .00370
"MV13-1" 7 HIGH 2 "profesor" 32 1.959 .00370
"MV13-1" 7 HIGH 3 "dijo" 24 2.593 .00370
"MV13-1" 7 HIGH 4 "que" 29 1.778 .00370
"MV13-1" 7 HIGH 5 "los" 27 1.722 .00370
"MV13-1" 7 HIGH 6 "alumnos" 19 1.088 .00370
"MV13-1" 7 HIGH 7 "selevantaran" 90 4.981 .00370
"MV13-1" 7 HIGH 8 "del" 62 4.086 .00370
"MV13-1" 7 HIGH 9 "asiento" 35 2.303 .00370
"MV13-1" 7 HIGH 10 "cuando" 48 2.955 .00370
"MV13-1" 7 HIGH 11 "los" 24 2.020 .00370
"MV13-1" 7 HIGH 12 "directores" 31 2.393 .00370
"MV13-1" 7 HIGH 13 "entraron" 72 4.865 .00370
"MV13-1" 7 HIGH 14 "en" 29 1.765 .00370
"MV13-1" 7 HIGH 15 "la" 20 0.990 .00370
"MV13-1" 7 HIGH 16 "clase" 16 1.532 .00370
"MV13-1" 7 HIGH 17 "de" 24 1.686 .00370
"MV13-1" 7 HIGH 18 "musica" 27 2.415 .00370
"MV13-1" 7 HIGH 19 "*" 49 3.893 .00370
"MV13-1" 7 LOW 1 "el" 18 1.362 .00370
"MV13-1" 7 LOW 2 "profesor" 29 1.911 .00370
"MV13-1" 7 LOW 3 "dijo" 51 3.110 .00370
"MV13-1" 7 LOW 4 "que" 19 1.469 .00370
"MV13-1" 7 LOW 5 "los" 50 3.251 .00370
"MV13-1" 7 LOW 6 "alumnos" 19 1.753 .00370
"MV13-1" 7 LOW 7 "selevantaran" 48 4.434 .00370
"MV13-1" 7 LOW 8 "del" 49 3.030 .00370
"MV13-1" 7 LOW 9 "asiento" 23 1.751 .00370
"MV13-1" 7 LOW 10 "cuando" 34 2.839 .00370
"MV13-1" 7 LOW 11 "los" 27 2.217 .00370
"MV13-1" 7 LOW 12 "directores" 28 2.351 .00370
"MV13-1" 7 LOW 13 "entraran" 34 3.501 .00370
"MV13-1" 7 LOW 14 "en" 43 2.803 .00370
"MV13-1" 7 LOW 15 "la" 20 1.190 .00370
"MV13-1" 7 LOW 16 "clase" 29 1.745 .00370
"MV13-1" 7 LOW 17 "de" 23 1.630 .00370
"MV13-1" 7 LOW 18 "musica" 21 1.644 .00370
"MV13-1" 7 LOW 19 "*" 21 1.895 .00370
"MV13-1" 7 UNAMB 1 "el" 26 1.413 .00370
"MV13-1" 7 UNAMB 2 "profesor" 22 2.077 .00370
"MV13-1" 7 UNAMB 3 "dijo" 33 2.840 .00370
"MV13-1" 7 UNAMB 4 "que" 20 1.437 .00370
"MV13-1" 7 UNAMB 5 "los" 19 1.571 .00370
"MV13-1" 7 UNAMB 6 "alumnos" 30 2.393 .00370
"MV13-1" 7 UNAMB 7 "selevantaran" 47 3.409 .00370
"MV13-1" 7 UNAMB 8 "del" 52 3.521 .00370
"MV13-1" 7 UNAMB 9 "asiento" 47 2.998 .00370
"MV13-1" 7 UNAMB 10 "si" 24 1.291 .00370
"MV13-1" 7 UNAMB 11 "los" 15 1.243 .00370
"MV13-1" 7 UNAMB 12 "directores" 30 3.035 .00370
"MV13-1" 7 UNAMB 13 "entraban" 36 3.669 .00370
"MV13-1" 7 UNAMB 14 "en" 30 1.979 .00370
"MV13-1" 7 UNAMB 15 "la" 25 1.510 .00370
"MV13-1" 7 UNAMB 16 "clase" 19 1.546 .00370
