"item" "roi" "word" "frequency" "freq.class" "len" "predictability" "target"
36 8 "shells" 15 2 7 0.6 "0"
36 9 "and" 28850 5 3 0.95 "0"
36 10 "star" 1 1 8 0 "0"
37 1 "the" 69974 5 3 0 "0"
37 2 "child" 213 3 5 0 "0"
37 3 "had" 5134 4 3 0.05 "0"
37 4 "a" 23127 5 1 0.5 "0"
37 5 "nightmare" 9 1 9 0 "0"
37 6 "about" 1814 4 5 0.45 "0"
37 7 "being" 681 3 5 0 "0"
37 8 "chased" 1 1 6 0.25 "0"
37 9 "by" 5305 4 2 0.9 "1"
37 10 "hornets" 1 1 7 0 "0"
37 11 "and" 28850 5 3 0.85 "0"
37 12 "wasps" 1 1 5 0.15 "0"
38 1 "biff" 1 1 4 0 "0"
38 2 "dove" 4 1 4 0 "0"
38 3 "into" 1789 4 4 0.55 "0"
38 4 "the" 69974 5 3 1 "0"
38 5 "water" 445 3 5 0.35 "0"
38 6 "and" 28850 5 3 0.55 "0"
38 7 "retrieved" 10 1 9 0 "0"
38 8 "a" 23127 5 1 0.15 "1"
38 9 "scallop" 1 1 7 0 "0"
38 10 "from" 4371 4 4 0.25 "0"
38 11 "the" 69974 5 3 0.85 "0"
38 12 "ocean" 34 2 5 0 "0"
38 13 "floor" 158 3 5 0.85 "0"
39 1 "the" 69974 5 3 0 "0"
39 2 "little" 831 3 6 0 "0"
39 3 "girl" 220 3 4 0.2 "0"
39 4 "picked" 78 2 6 0 "0"
39 5 "all" 3001 4 3 0 "0"
39 6 "the" 36414 5 2 0.25 "0"
39 7 "cashews" 69974 5 3 0.95 "1"
39 8 "out" 1 1 7 0 "0"
39 9 "of" 2096 4 3 0.75 "0"
39 10 "the" 36414 5 2 1 "0"
39 11 "trail" 69974 5 3 1 "0"
39 12 "mix" 31 2 5 0 "0"
40 1 "the" 69974 5 3 0 "0"
40 2 "athlete" 9 1 7 0 "0"
40 3 "broke" 67 2 5 0 "0"
40 4 "his" 6994 4 3 0.7 "1"
40 5 "pelvis" 1 1 6 0 "0"
40 6 "and" 28850 5 3 0.05 "0"
40 7 "could" 1601 4 5 0.1 "0"
40 8 "not" 4868 4 3 0.9 "0"
40 9 "participate" 22 2 11 0 "0"
40 10 "in" 21335 5 2 0.95 "0"
40 11 "the" 69974 5 3 0.85 "0"
40 12 "race" 103 3 4 0.15 "0"
41 1 "the" 69974 5 3 0 "0"
41 2 "game" 123 3 4 0 "0"
41 3 "show" 288 3 4 0 "0"
41 4 "contestant" 1 1 10 0 "0"
41 5 "won" 68 2 3 0.4 "0"
41 6 "a" 23127 5 1 0.6 "1"
41 7 "quartz" 1 1 6 0 "0"
41 8 "watch" 81 2 5 0.95 "0"
41 9 "and" 28850 5 3 0.8 "0"
41 10 "a" 23127 5 1 0.75 "0"
41 11 "television" 51 2 10 0.05 "0"
41 12 "set" 414 3 3 1 "0"
42 1 "the" 69974 5 3 0 "0"
42 2 "careless" 8 1 8 0 "0"
42 3 "mailman" 1 1 7 0 "0"
42 4 "delivered" 37 2 9 0 "0"
42 5 "the" 69974 5 3 0.95 "1"
42 6 "parcel" 1 1 6 0 "0"
42 7 "to" 26155 5 2 0.9 "0"
42 8 "the" 69974 5 3 1 "0"
42 9 "wrong" 129 3 5 0.95 "0"
42 10 "house" 591 3 5 0.5 "0"
43 1 "after" 1068 4 5 0 "0"
43 2 "receiving" 34 2 9 0 "0"
43 3 "money" 265 3 5 0 "0"
43 4 "the" 69974 5 3 0.25 "1"
43 5 "beggar" 2 1 6 0 "0"
43 6 "bought" 56 2 6 0.1 "0"
43 7 "cigarettes" 12 2 10 0.05 "0"
43 8 "and" 28850 5 3 0.8 "0"
43 9 "a" 23127 5 1 0 "0"
43 10 "case" 362 3 4 0 "0"
43 11 "of" 36414 5 2 1 "0"
43 12 "beer" 35 2 4 0.95 "0"
44 1 "at" 5372 4 2 0 "0"
44 2 "the" 69974 5 3 0.6 "0"
44 3 "science" 131 3 7 0 "0"
44 4 "party" 216 3 5 0 "0"
44 5 "people" 847 3 6 0 "0"
44 6 "were" 3286 4 4 0.45 "0"
44 7 "dressed" 36 2 7 0.05 "0"
44 8 "as" 7251 5 2 0.2 "1"
44 9 "robots" 3 1 6 0.05 "0"
44 10 "and" 28850 5 3 0.8 "0"
44 11 "computers" 5 1 9 0.3 "0"
45 1 "the" 69974 5 3 0 "0"
45 2 "stunning" 6 1 8 0 "0"
45 3 "actress" 6 1 7 0.05 "0"
45 4 "wore" 65 2 4 0 "0"
45 5 "a" 23127 5 1 0.1 "0"
45 6 "black" 203 3 5 0.05 "1"
45 7 "sequin" 1 1 6 0 "0"
45 8 "dress" 67 2 5 0.7 "0"
45 9 "to" 26155 5 2 0.25 "0"
45 10 "the" 69974 5 3 1 "0"
45 11 "award" 46 2 5 0.2 "0"
45 12 "ceremony" 18 2 8 0.6 "0"
46 1 "when" 2333 4 4 0 "0"
46 2 "the" 69974 5 3 0.25 "0"
46 3 "man" 1207 4 3 0.05 "0"
