"sn" "roi" "word" "frequency" "freq.class" "len" "predictability" "target" "nw"
"388" 36 6 "pebbles" 3 1 7 0 0 10
"389" 36 7 "sea" 93 2 3 0 0 10
"390" 36 8 "shells" 15 2 7 0.6 0 10
"391" 36 9 "and" 28850 5 3 0.95 0 10
"392" 36 10 "star" 1 1 8 0 0 10
"393" 37 1 "the" 69974 5 3 0 0 12
"394" 37 2 "child" 213 3 5 0 0 12
"395" 37 3 "had" 5134 4 3 0.05 0 12
"396" 37 4 "a" 23127 5 1 0.5 0 12
"397" 37 5 "nightmare" 9 1 9 0 0 12
"398" 37 6 "about" 1814 4 5 0.45 0 12
"399" 37 7 "being" 681 3 5 0 0 12
"400" 37 8 "chased" 1 1 6 0.25 0 12
"401" 37 9 "by" 5305 4 2 0.9 1 12
"402" 37 10 "hornets" 1 1 7 0 0 12
"403" 37 11 "and" 28850 5 3 0.85 0 12
"404" 37 12 "wasps" 1 1 5 0.15 0 12
"405" 38 1 "biff" 1 1 4 0 0 13
"406" 38 2 "dove" 4 1 4 0 0 13
"407" 38 3 "into" 1789 4 4 0.55 0 13
"408" 38 4 "the" 69974 5 3 1 0 13
"409" 38 5 "water" 445 3 5 0.35 0 13
"410" 38 6 "and" 28850 5 3 0.55 0 13
"411" 38 7 "retrieved" 10 1 9 0 0 13
"412" 38 8 "a" 23127 5 1 0.15 1 13
"413" 38 9 "scallop" 1 1 7 0 0 13
"414" 38 10 "from" 4371 4 4 0.25 0 13
"415" 38 11 "the" 69974 5 3 0.85 0 13
"416" 38 12 "ocean" 34 2 5 0 0 13
"417" 38 13 "floor" 158 3 5 0.85 0 13
"418" 39 1 "the" 69974 5 3 0 0 12
"419" 39 2 "little" 831 3 6 0 0 12
"420" 39 3 "girl" 220 3 4 0.2 0 12
"421" 39 4 "picked" 78 2 6 0 0 12
"422" 39 5 "all" 3001 4 3 0 0 12
"423" 39 6 "the" 36414 5 2 0.25 0 12
"424" 39 7 "cashews" 69974 5 3 0.95 1 12
"425" 39 8 "out" 1 1 7 0 0 12
"426" 39 9 "of" 2096 4 3 0.75 0 12
"427" 39 10 "the" 36414 5 2 1 0 12
"428" 39 11 "trail" 69974 5 3 1 0 12
"429" 39 12 "mix" 31 2 5 0 0 12
"430" 40 1 "the" 69974 5 3 0 0 12
"431" 40 2 "athlete" 9 1 7 0 0 12
"432" 40 3 "broke" 67 2 5 0 0 12
"433" 40 4 "his" 6994 4 3 0.7 1 12
"434" 40 5 "pelvis" 1 1 6 0 0 12
"435" 40 6 "and" 28850 5 3 0.05 0 12
"436" 40 7 "could" 1601 4 5 0.1 0 12
"437" 40 8 "not" 4868 4 3 0.9 0 12
"438" 40 9 "participate" 22 2 11 0 0 12
"439" 40 10 "in" 21335 5 2 0.95 0 12
"440" 40 11 "the" 69974 5 3 0.85 0 12
"441" 40 12 "race" 103 3 4 0.15 0 12
"442" 41 1 "the" 69974 5 3 0 0 12
"443" 41 2 "game" 123 3 4 0 0 12
"444" 41 3 "show" 288 3 4 0 0 12
"445" 41 4 "contestant" 1 1 10 0 0 12
"446" 41 5 "won" 68 2 3 0.4 0 12
"447" 41 6 "a" 23127 5 1 0.6 1 12
"448" 41 7 "quartz" 1 1 6 0 0 12
"449" 41 8 "watch" 81 2 5 0.95 0 12
"450" 41 9 "and" 28850 5 3 0.8 0 12
"451" 41 10 "a" 23127 5 1 0.75 0 12
"452" 41 11 "television" 51 2 10 0.05 0 12
"453" 41 12 "set" 414 3 3 1 0 12
"454" 42 1 "the" 69974 5 3 0 0 10
"455" 42 2 "careless" 8 1 8 0 0 10
"456" 42 3 "mailman" 1 1 7 0 0 10
"457" 42 4 "delivered" 37 2 9 0 0 10
"458" 42 5 "the" 69974 5 3 0.95 1 10
"459" 42 6 "parcel" 1 1 6 0 0 10
"460" 42 7 "to" 26155 5 2 0.9 0 10
"461" 42 8 "the" 69974 5 3 1 0 10
"462" 42 9 "wrong" 129 3 5 0.95 0 10
"463" 42 10 "house" 591 3 5 0.5 0 10
"464" 43 1 "after" 1068 4 5 0 0 12
"465" 43 2 "receiving" 34 2 9 0 0 12
"466" 43 3 "money" 265 3 5 0 0 12
"467" 43 4 "the" 69974 5 3 0.25 1 12
"468" 43 5 "beggar" 2 1 6 0 0 12
"469" 43 6 "bought" 56 2 6 0.1 0 12
"470" 43 7 "cigarettes" 12 2 10 0.05 0 12
"471" 43 8 "and" 28850 5 3 0.8 0 12
"472" 43 9 "a" 23127 5 1 0 0 12
"473" 43 10 "case" 362 3 4 0 0 12
"474" 43 11 "of" 36414 5 2 1 0 12
"475" 43 12 "beer" 35 2 4 0.95 0 12
"476" 44 1 "at" 5372 4 2 0 0 11
"477" 44 2 "the" 69974 5 3 0.6 0 11
"478" 44 3 "science" 131 3 7 0 0 11
"479" 44 4 "party" 216 3 5 0 0 11
"480" 44 5 "people" 847 3 6 0 0 11
"481" 44 6 "were" 3286 4 4 0.45 0 11
"482" 44 7 "dressed" 36 2 7 0.05 0 11
"483" 44 8 "as" 7251 5 2 0.2 1 11
"484" 44 9 "robots" 3 1 6 0.05 0 11
"485" 44 10 "and" 28850 5 3 0.8 0 11
"486" 44 11 "computers" 5 1 9 0.3 0 11
"487" 45 1 "the" 69974 5 3 0 0 12
"488" 45 2 "stunning" 6 1 8 0 0 12
"489" 45 3 "actress" 6 1 7 0.05 0 12
"490" 45 4 "wore" 65 2 4 0 0 12
"491" 45 5 "a" 23127 5 1 0.1 0 12
"492" 45 6 "black" 203 3 5 0.05 1 12
"493" 45 7 "sequin" 1 1 6 0 0 12
"494" 45 8 "dress" 67 2 5 0.7 0 12
"495" 45 9 "to" 26155 5 2 0.25 0 12
"496" 45 10 "the" 69974 5 3 1 0 12
"497" 45 11 "award" 46 2 5 0.2 0 12
"498" 45 12 "ceremony" 18 2 8 0.6 0 12
"499" 46 1 "when" 2333 4 4 0 0 13
"500" 46 2 "the" 69974 5 3 0.25 0 13
"501" 46 3 "man" 1207 4 3 0.05 0 13
"502" 46 4 "ran" 134 3 3 0 0 13
"503" 46 5 "in" 21335 5 2 0 0 13
"504" 46 6 "the" 69974 5 3 0.65 0 13
"505" 46 7 "blizzard" 7 1 8 0 0 13
"506" 46 8 "an" 3727 4 2 0 1 13
"507" 46 9 "icicle" 1 1 6 0.05 0 13
"508" 46 10 "formed" 76 2 6 0.05 0 13
"509" 46 11 "on" 6740 4 2 0.9 0 13
"510" 46 12 "his" 6994 4 3 0.85 0 13
"511" 46 13 "beard" 26 2 5 0.1 0 13
"512" 47 1 "the" 69974 5 3 0 0 12
"513" 47 2 "clumsy" 6 1 6 0 0 12
"514" 47 3 "assistant" 36 2 9 0 0 12
"515" 47 4 "dropped" 101 3 7 0.45 0 12
"516" 47 5 "a" 23127 5 1 0.1 1 12
"517" 47 6 "beaker" 2 1 6 0.15 0 12
"518" 47 7 "and" 28850 5 3 0.5 0 12
"519" 47 8 "it" 8761 4 2 0.15 0 12
"520" 47 9 "shattered" 13 2 9 0.05 0 12
"521" 47 10 "on" 6740 4 2 0.4 0 12
"522" 47 11 "the" 69974 5 3 0.95 0 12
"523" 47 12 "floor" 158 3 5 0.9 0 12
"524" 48 1 "when" 2333 4 4 0 0 12
"525" 48 2 "als" 2 1 3 0 1 12
"526" 48 3 "retina" 1 1 6 0 0 12
